yes
no
maybe
please
thank you
sorry
alright
i understand
i don't understand
do you speak german
i don't speak english
help
a little slower please
bless you
cheers
where
when
who
why
name
what is your name
my name is
i am
it's nice to meet you
i am x years old
i am from
how old are you
where do you work
where are you from
what brings you here
how was your trip
are you having a good time
what are you thinking about
my friends call me
have we met before
this is
how was your weekend
hello
good morning
good afternoon
good evening
good night
goodbye
see you
how are you
good
bad
take care
how are you
i would like
